,NU_INSCRICAO,NU_ANO,NO_MUNICIPIO_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ST_CONCLUSAO,TP_ESCOLA,NO_MUNICIPIO_ESC,TP_DEPENDENCIA_ADM_ESC,NO_MUNICIPIO_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
766760,160001245475,2016,Altos,PI,16.0,M,3,1,,,Altos,457.1,616.9,557.5,431.9,820.0
772403,160002127124,2016,Altos,PI,20.0,F,1,1,,,Altos,466.0,488.5,564.4,417.4,600.0
784168,160001937499,2016,Altos,PI,19.0,F,2,3,Santa Inês,4.0,Santa Inês,496.6,496.1,504.8,431.3,540.0
785707,160001948280,2016,Altos,PI,18.0,F,2,2,Altos,2.0,Altos,437.8,435.2,411.1,339.9,420.0
788262,160002347422,2016,Altos,PI,48.0,M,1,1,,,Altos,,,,,
793288,160002373140,2016,Altos,PI,20.0,F,2,2,Altos,2.0,Altos,492.0,366.3,420.6,514.9,520.0
807706,160002374213,2016,Altos,PI,18.0,F,2,2,Altos,2.0,Altos,,,,,
812230,160002374461,2016,Altos,PI,41.0,F,1,1,,,Altos,,,,,
814553,160002345628,2016,Altos,PI,17.0,F,2,2,Altos,2.0,Altos,539.2,560.5,566.2,590.9,560.0
817822,160002327710,2016,Altos,PI,18.0,F,3,1,,,Altos,468.9,450.7,469.4,500.1,400.0
824789,160002364436,2016,Altos,PI,19.0,M,1,1,,,Altos,451.5,488.1,517.8,466.8,600.0
832659,160002346751,2016,Altos,PI,17.0,M,2,2,Altos,2.0,Altos,521.6,553.0,527.5,481.5,560.0
838566,160002368846,2016,Altos,PI,18.0,F,1,1,,,Altos,496.8,562.1,565.5,525.4,780.0
839254,160002354387,2016,Altos,PI,37.0,M,1,1,,,Altos,437.0,617.1,418.4,488.2,500.0
840940,160002358101,2016,Altos,PI,35.0,F,1,1,,,Altos,498.2,474.9,483.8,543.1,0.0
842741,160002348533,2016,Altos,PI,29.0,M,4,1,,,Altos,401.0,493.1,466.1,380.1,400.0
877336,160001881842,2016,Altos,PI,17.0,F,1,1,,,Altos,401.5,490.2,515.9,378.8,600.0
887518,160002168123,2016,Altos,PI,20.0,M,1,1,,,Altos,,,,,
903972,160002194461,2016,Altos,PI,15.0,F,3,1,,,Altos,366.5,428.1,532.6,401.1,500.0
905849,160002205420,2016,Altos,PI,18.0,M,1,1,,,Altos,530.2,450.9,460.4,858.7,760.0
910828,160000672046,2016,Altos,PI,20.0,F,1,1,,,Altos,388.2,464.5,493.7,411.5,600.0
914093,160000657544,2016,Altos,PI,18.0,F,1,1,,,Altos,507.0,504.9,466.9,592.0,380.0
918684,160000650687,2016,Altos,PI,21.0,F,1,1,,,Altos,395.7,541.5,470.2,389.6,360.0
